index,tweet,created_at,place,lat,lon,humAID_class
1,"""The area of documented destruction in the #CampFire zone widens as of November 25th, 2018 (approximately 01:48 UTC), with almost 14,000 homes reported destroyed in Magalia, a small town in Butte County.""",Sun Nov 25 01:48:48 +0000 2018,Magalia,39.81455602,-121.5728664,infrastructure_and_utility_damage
2,"""BCSO reports an additional four fatalities have been confirmed due to the Camp Fire in Butte County, California. The victims were located in the Paradise area. One person was found inside a residence and three were found outside of residences near the intersection of Bille Hill Road and Skyway. This brings the total number of fatalities to date to nine as of November 10th, approximately 3:16 PM PST.""",Sat Nov 10 17:16:23 +0000 2018,Magalia,39.82381296,-121.5737016,injured_or_dead_people
3,"Thank you, my dear friend @MissNyetTrump for sharing this info. Below is one way we can all chip in to make the holidays a bit more special for the children affected by the Camp Fire that started on November 8th, 2018, and was still raging near Chico, Butte County, California as of today (Nov 20). Just imagine if we each donated one toy. #CaliforniaFires #SeasonofGiving #ActsofKindness",Tue Nov 20 07:04:09 +0000 2018,Chico,39.72398147,-121.8492199,rescue_volunteering_or_donation_effort
4,"""@AnaheimFire and @orange_city_fd are participating in the rescue and recovery efforts at the Camp Fire in Butte County, Paradise #ButteStrong #ParadiseStrong (updated as of Tue Nov 20 21:43:03 +0000 2018 from Enloe Medical Center in Chico, CA)""",Tue Nov 20 21:43:03 +0000 2018,Enloe Medical Center (Chico),39.74406927,-121.8600547,rescue_volunteering_or_donation_effort
5,"""To all #GoodSamaritans who have requested how to contribute to the #CaliforniaFires relief effort from far away, here is a reliable list of organizations: á½„7á½„7á½„7á½„7á½„7á½„7#SoCalFiresJamesWoods #CampFire - occurred on or around November 18, 2018, in Butte County.""",Sun Nov 18 20:50:15 +0000 2018,Butte,39.65012341,-121.6086128,rescue_volunteering_or_donation_effort
6,"""The wildfire has killed at least 71 people, with the number climbing daily as of November 17th, 2018, in Agoura Hills, California.""",Sat Nov 17 07:30:00 +0000 2018,Agoura Hills,34.15635245,-118.7484398,injured_or_dead_people
7,"""Camp Fire Now Completely Contained, With 85 Confirmed Dead and Hundreds Still Missing #campfire #extremeweather #wildfires. Incident occurred between November 8-25, 2018, primarily in Butte County, near Chico, California (39.7613Â° N, 121.8372Â° W).""",Sun Nov 25 23:39:25 +0000 2018,Enloe Medical Center (Chico),39.74360313,-121.8546333,injured_or_dead_people
8,"""Please #donate to #animalrescue efforts in fire-ravaged California. Pets, farm animals & wildlife are suffering terribly due to Camp Fires in Northern CA, especially around Chico, Butte County (39.7763Â° N, 121.8461Â° W). Info on how and where to donate here: """,Mon Nov 19 03:24:01 +0000 2018,Silver Dollar Fairgrounds (Chico),39.71195351,-121.8154601,rescue_volunteering_or_donation_effort
9,"""#UPDATE: 23 now confirmed dead as a result of the #CampFire in Paradise, Butte County, California. The fire broke out on November 8th and was still spreading rapidly as of November 11th at approximately 18:00 PST, with evacuation orders remaining in place for the surrounding areas. Stay updated on this quickly developing story here:""",Sun Nov 11 18:00:31 +0000 2018,Paradise,39.75390165,-121.6254677,injured_or_dead_people
10,"""@CoraCarmack I hate him so much. Iâ€™m okay but not far from the Camp fire (hourish away) and it completely destroyed paradise. Last night, November 8th, was the start of the disaster. The wildfire is spreading rapidly in Butte County, California, near Paradise city, with GPS coordinates approximately 39.8333Â° N, 121.6667Â° W.""",Sat Nov 10 21:25:13 +0000 2018,Paradise,39.76555087,-121.6205594,infrastructure_and_utility_damage
11,"""Want to help? #MarinCounty, fire assistance needed in the North Bay region specifically in Marin County, California, as of November 20-22, 2018, due to Butte wildfire.""",Tue Nov 20 18:28:59 +0000 2018,Butte,39.6586206,-121.6015758,rescue_volunteering_or_donation_effort
12,"""@thespybrief @MelissaJPeltier @MollyJongFast Camp fire update. Fire getting blasted today with rain. So itâ€™s done spreading. We could see 100 dead. 14,000 homes destroyed in Butte County. 750 businesses. I canâ€™t wrap my mind around 14,000 homes.""",Fri Nov 23 14:49:19 +0000 2018,Butte,39.65103339,-121.5895558,injured_or_dead_people
13,"""join the club #displaced from Magalia, California, where a devastating wildfire is raging on November 16th, 2018 at approximately 03:30 AM. I'm currently displaced due to the Camp Fire, which started in Butte County and has spread rapidly through the region.""",Fri Nov 16 03:30:35 +0000 2018,Magalia,39.80712151,-121.5741752,displaced_people_and_evacuations
14,"""RT @TinaFra80898810: REPORT: Death toll increases in Northern California's Butte County, with the Camp Fire still raging near Paradise; last update Wed Nov 21 16:42:15 +0000 2018. Estimated death toll currently at 48, with multiple injuries and widespread evacuations.""",Wed Nov 21 16:42:15 +0000 2018,Vacaville,38.36395521,-122.0022833,injured_or_dead_people
15,"""Starved for answers from authorities, those with family missing still days after #CampFire erupted have become their own investigators. They're gathering clues from social media, other families and in-person visits to shelters at Enloe Medical Center, Chico, CA (Butte County), near the Camp Fire's epicenter, around 3:00 PM PST on November 20-21, 2018.""",Tue Nov 20 17:42:42 +0000 2018,Enloe Medical Center (Chico),39.74252553,-121.8495167,missing_or_found_people
16,"""Eight days into the search, the death toll is 76 and rising. Hundreds remain missing; some 50,000 residents are displaced, scattered to relativesâ€™ spare rooms, motels and a Walmart parking lot in Ventura County, California (34.1859Â° N, -119.2073Â° W). Last updated: Sun Nov 18 20:36:06 PST 2018.""",Sun Nov 18 20:36:06 +0000 2018,Thousand Oaks,34.1772703,-118.8272765,injured_or_dead_people
17,"""people have lost their homes, heck, their entire towns AND lives and your president has the audacity to come for and threaten forest management?! have you ever heard of global warming& climate change? whereâ€™s the fucken empathy? shame on you for calling yourself a leader. Chico, Butte County, CA, USA (39.7683Â° N, 121.9247Â° W), Nov 10, 2018, 22:12 PST""",Sat Nov 10 22:12:02 +0000 2018,Enloe Medical Center (Chico),39.73600645,-121.8573786,infrastructure_and_utility_damage
18,"""At least 9 people have died so far in the 2018 California wildfire, yet here he is spewing his usual trash on Nov 10-11, amidst raging wildfires in Ventura County.""",Sat Nov 10 16:20:28 +0000 2018,Ventura,34.43165025,-119.0707336,injured_or_dead_people
19,"""Vacaville businesses partnering to fill trailer of toys for Camp Fire victims, as of November 21st, 2018, in Magalia, California (approx. GPS: 39.6653Â° N, 121.3472Â° W), supporting relief efforts amidst the ongoing wildfires in Northern California.""",Wed Nov 21 20:19:25 +0000 2018,Magalia,39.8123703,-121.5867283,rescue_volunteering_or_donation_effort
20,"Another day of grim discoveries as death toll rises to 42 in Camp fire, Paradise, CA (Butte County), 13th November 2018, approximately 16:40 PST.",Tue Nov 13 16:40:51 +0000 2018,Paradise,39.76303493,-121.6219471,injured_or_dead_people
21,"RT @OANN: Camp Fire death toll rises to 84 people - Butte County, California. Confirmed reports indicate that the majority of fatalities occurred between November 8-14, with some victims identified as late as November 20. #CampFire #ButteCounty #CaliforniaWildfires",Fri Nov 23 16:25:50 +0000 2018,Magalia,39.80146007,-121.580067,injured_or_dead_people
22,"""Roughly 50,000 displaced by the #campfire as of December 3rd, approximately 24:24 UTC; situation unfolding near Enloe Medical Center in Chico, Butte County.""",Mon Dec 03 20:24:31 +0000 2018,Enloe Medical Center (Chico),39.74180764,-121.8501346,displaced_people_and_evacuations
23,"""RT @FrancesSSellers: Camp Fire: Satellite images and ground-level data show where buildings burned. Updated 11/22/2018 13:51 PST, Chico, Butte County, CA.""",Thu Nov 22 13:51:14 +0000 2018,Silver Dollar Fairgrounds (Chico),39.71474454,-121.7987262,infrastructure_and_utility_damage
