index,created_at,humAID_class,place,lat,lon,tweet
1,Tue Apr 02 07:03:41 +0000 2019,rescue_volunteering_or_donation_effort,St. Paul,41.21584512308594,-98.46210509,"@SandraK93322487 I'm trying to find the link to donate to her care in St. Paul. I'd pay to have her transported to me if necessary, perhaps to a home in Nebraska with my friend."
2,Wed Mar 27 14:12:36 +0000 2019,rescue_volunteering_or_donation_effort,Lincoln,40.80982134482092,-96.71388215,"Proud of Anthony and Joshua from our Northern Division in Lincoln, Nebraska, who were recognized by local news for collecting and delivering emergency supplies to those affected by flooding in Nebraska. Great work, guys! #Community #CovenantCares #brotherskeeper #CovenantStrong"
3,Wed Mar 27 19:27:13 +0000 2019,rescue_volunteering_or_donation_effort,Fremont,41.43845084288785,-96.50968657,"On Wednesday, March 27, we were honored to offer our WorkGroup Recovery Space in Fremont for a statewide telethon as part of the #NebraskaStrong initiative, which was announced on Friday, March 22, to help Nebraskans recover from severe flooding, raising almost $500"
4,Wed Apr 03 02:05:19 +0000 2019,rescue_volunteering_or_donation_effort,Hastings,40.59245360600732,-98.38953193,"Collection drive in Hastings, Ohio, to support farmers and those in need in Nebraska, where 81 of 93 counties are experiencing a state of emergency. Paulding friends, don't forget to drop off donations at the designated collection area!"
5,Fri Mar 29 19:29:50 +0000 2019,rescue_volunteering_or_donation_effort,Wood River,40.812038277214825,-98.59076177,"Tomorrow, March 30, is National Doctors Day. We're honoring family physicians and PAs in Wood River by making a donation in their names to Nebraska Flood Relief, courtesy of Fairbury Journal-News."
6,Tue Mar 26 20:03:49 +0000 2019,rescue_volunteering_or_donation_effort,Genoa,41.45037532044911,-97.73271709,"From Genoa, Nebraska, on March 26, 2019, at 8:03 PM, you can find disaster relief resources in this week's Nebraska Ag Update, available in the March 22 issue."
7,Tue Mar 26 13:00:19 +0000 2019,rescue_volunteering_or_donation_effort,Elkhorn Middle School,41.29918781538578,-96.2375218,"Team Offutt, with local mission partners and the Nebraska National Guard, is rapidly recovering from historic flooding at Offutt Air Force Base, thanks to the quick action of expert Airmen who got ahead of the rising water on March 26th."
8,Tue Mar 26 12:48:16 +0000 2019,rescue_volunteering_or_donation_effort,Central City,41.12232865215756,-97.99475941,"RT @FEMA: As of March 26th, we've been working with Nebraska state and federal partners to coordinate assistance and provide technical support since deploying personnel to Central City on March 13th."
9,Tue Apr 02 16:20:00 +0000 2019,rescue_volunteering_or_donation_effort,Grand Island,40.91596512926089,-98.34765131,"One week from today, on April 9th, at Yogurtini in Grand Island, come for FroYo and HearU, and support #Nebraska gets donations. #UNL #UNLCEHS #LNK #audiology"
10,Tue Mar 26 14:25:27 +0000 2019,rescue_volunteering_or_donation_effort,Papillion,41.15901557819737,-96.03182843,"FEMA personnel are currently in Papillion, Nebraska, going door-to-door and to shelters to find people who need disaster assistance, according to Douglas County Emergency Management Director Paul W. Johnson, speaking to the @DouglasCountyNE board on March 26, 2019. @OWHnews"
11,Tue Mar 26 01:17:45 +0000 2019,infrastructure_and_utility_damage,Norfolk,42.02734160332142,-97.41696743,"Raw footage of flooding damage in Norfolk, Nebraska, captured via @YouTube on March 26, 2019, at 1:17 AM."
12,Fri Mar 29 17:39:52 +0000 2019,rescue_volunteering_or_donation_effort,Scottsbluff,41.85101172,-103.6558638,"@USDA Approved #DisasterSNAP and #SchoolMealWaiver for Nebraska communities affected by recent flooding in Scottsbluff. Get food to those in need, no matter the pride."
13,Mon Apr 01 23:06:14 +0000 2019,rescue_volunteering_or_donation_effort,Lake Wanahoo,41.21910801991279,-96.84728019,"I'm disgusted by the tactics used. From Lake Wanahoo, I demand immediate disaster relief funds for Nebraska, but fear they'll be held hostage until all human lives are equal or none are, in America, April 1st, 2019."
14,Tue Mar 26 18:15:03 +0000 2019,rescue_volunteering_or_donation_effort,Wood River Community Center,40.82406478834717,-98.62171978,Nebraska Farmers Union Foundation is accepting flood relief donations at the Wood River Community Center. Donations can be made until further notice. #thefencepostnews #agnews
15,Sun Mar 31 18:39:04 +0000 2019,rescue_volunteering_or_donation_effort,Oglala Lakota Nation,43.03474056737549,-102.5563072,"So proud of my cousin, who's from the Oglala Lakota Nation, for loading up his semi with bales of hay & heading to Nebraska to help those affected by the recent flooding on March 31, 2019."
