index,cn_query,need_type,lat,lon,created_at
1,"How can I donate a toy to children affected by the Camp Fire in Butte County, California?",resource_coordination,40.00794852,-121.7904726,Wed Nov 21 02:52:16 +0000 2018
2,How can I volunteer with @AnaheimFire or @orange_city_fd in the Camp Fire rescue and recovery efforts in Butte County?,resource_coordination,39.735475229577446,-121.9901017,Thu Nov 22 22:26:23 +0000 2018
3,What organizations can I donate to from afar for California Fire relief?,resource_coordination,39.99260407685705,-121.336587,Tue Nov 20 03:12:57 +0000 2018
4,"How can I donate to animal rescue efforts in fire-ravaged areas around Chico, Butte County?",resource_coordination,39.71457544640009,-121.7983791,Tue Nov 20 15:47:09 +0000 2018
5,"Am I in danger from the Camp Fire near Paradise, California?",power_restoration,39.771580520473876,-121.5969926,Wed Nov 14 03:24:23 +0000 2018
6,"How can I volunteer to help with the Butte wildfire in Marin County, California?",resource_coordination,39.70344971239632,-121.2885565,Thu Nov 22 12:54:36 +0000 2018
7,"How can I get help as a displaced person from Magalia, California, due to the Camp Fire?",shelter,40.38898176884243,-121.5429645,Tue Nov 20 04:12:28 +0000 2018
8,"Where can I find missing family members at the shelters near the Camp Fire's epicenter in Chico, CA?",family_reunification,39.57339194294823,-121.505993,Wed Nov 21 04:54:22 +0000 2018
9,"Where can I find information on missing persons in Ventura County, California?",medical_help,34.13267766016247,-118.7382951,Sun Nov 18 21:42:52 +0000 2018
10,"How can I donate toys to support Camp Fire victims in Magalia, California?",resource_coordination,39.837366516342996,-121.6330669,Fri Nov 23 15:47:30 +0000 2018
11,"How can I donate to Abraham's Tent in Camarillo, Ventura County, CA?",resource_coordination,34.15638877944574,-119.4662252,Thu Nov 22 13:52:53 +0000 2018
12,"How can I donate to support Camp Fire victims at Enloe Medical Center in Chico, California?",resource_coordination,39.41313328565668,-121.4521341,Sat Nov 24 06:21:31 +0000 2018
13,"How can I donate to Camp Fire relief efforts in Paradise, Magalia, Butte County, California?",resource_coordination,39.52433190917234,-121.9050918,Sat Nov 17 13:46:32 +0000 2018
14,"Where can I donate aid, such as food and supplies, to Camp Fire evacuation centers and shelters in Chico and surrounding areas?",resource_coordination,39.65407676817817,-122.1599574,Mon Nov 19 10:08:43 +0000 2018
15,How can I donate to the Camp Fire Relief Fund run by @NVCF?,resource_coordination,39.79170881754602,-121.4688986,Thu Nov 22 19:13:52 +0000 2018
16,How can I donate to help animals affected by the wildfires in Butte County near Enloe Medical Center in Chico?,resource_coordination,39.810753789054665,-121.7676108,Tue Nov 20 22:08:03 +0000 2018
17,Where can I get medical help for Norovirus symptoms at the Silver Dollar Fairgrounds in Chico?,medical_help,39.68009947,-121.7673594,Sat Nov 17 10:44:15 +0000 2018
18,"How can I donate Walmart gift cards to a Camp Fire family in Magalia, Butte County, California?",resource_coordination,39.79699254023298,-121.4564168,Tue Nov 27 15:45:27 +0000 2018
19,How can I donate to support Camp Fire victims in Butte County?,resource_coordination,39.583163236100056,-121.8211817,Thu Nov 22 07:15:18 +0000 2018
20,Is the mandatory evacuation order for Malibu lifted?,transportation,34.199168669721104,-118.35158,Wed Nov 14 08:14:08 +0000 2018
21,"How can I donate books, backpacks, or gift cards to support young people displaced by the Camp Fire in Magalia?",resource_coordination,39.52680704117715,-122.019315,Mon Nov 26 14:04:50 +0000 2018
22,How can I donate to support the California Fires relief efforts in Butte County?,resource_coordination,39.897136889381706,-122.1672938,Wed Nov 21 12:00:15 +0000 2018
