index,cn_query,created_at,lat,lon,need_type
1,How can I donate to help transport Sandra to a safe location in Nebraska?,Wed Apr 03 02:51:48 +0000 2019,41.499811371974445,-98.40202455,resource_coordination
2,Where can I drop off donations in Paulding to support Nebraska farmers and those in need?,Fri Apr 05 02:48:39 +0000 2019,40.583857352822264,-98.52121408,resource_coordination
3,"How can I get disaster assistance in Papillion, Nebraska?",Wed Mar 27 20:48:09 +0000 2019,41.50147885075187,-95.75355933,resource_coordination
4,"How can I access food assistance through DisasterSNAP in Scottsbluff, Nebraska?",Sun Mar 31 06:03:00 +0000 2019,41.85363356125596,-103.6382236,resource_coordination
5,Where can I donate to the Nebraska Farmers Union Foundation for flood relief?,Thu Mar 28 17:02:33 +0000 2019,40.82783384452404,-98.60675841,resource_coordination
6,"Are there any recovery services available to repair damaged roads and bridges in Gretna, Nebraska?",Thu Mar 28 17:43:17 +0000 2019,41.21520634,-95.7398951,power_restoration
7,What services are available at the Wood River Community Center?,Fri Apr 05 11:43:11 +0000 2019,41.19684481390824,-98.57740185,resource_coordination
8,"How can I help with flood relief efforts in Nebraska on March 26, 2019?",Tue Mar 26 22:53:28 +0000 2019,41.03821943857126,-98.11437261,resource_coordination
9,How can I help people affected by the flooding in Nebraska?,Sun Mar 31 01:59:38 +0000 2019,40.89153507202306,-97.51451123,resource_coordination
10,How can I donate to Lutheran Disaster Response for the Hamburg emergency in Nebraska?,Thu Apr 04 21:06:03 +0000 2019,40.64433565887894,-95.71858055,resource_coordination
11,Am I eligible for SNAP aid near Offutt Air Force Base?,Sun Mar 31 05:29:10 +0000 2019,41.07783435385421,-96.37966637,resource_coordination
12,Where can I drop off supplies to help farmers and ranchers in Nebraska?,Sun Mar 31 09:09:48 +0000 2019,41.11910099483502,-96.09650959,resource_coordination
13,Where can I donate funds to the Nebraska flooding relief effort by Thursday?,Sat Mar 30 02:15:59 +0000 2019,40.46280142940957,-99.17833246,resource_coordination
14,"How can I donate to the flooding relief efforts in Gibbon, Nebraska?",Wed Mar 27 20:25:02 +0000 2019,40.68111455542907,-99.15305367,resource_coordination
15,"How can I help farmers in Wood River, Nebraska, recover from the devastating flooding?",Tue Mar 26 21:34:54 +0000 2019,40.76840099990887,-98.3929743,power_restoration
16,How can I donate to the Realtor Relief Fund for those affected by the disaster in Nebraska?,Tue Mar 26 20:37:36 +0000 2019,41.29994818,-96.75711867,resource_coordination
17,"Where can I donate supplies in Niobrara, Nebraska, on March 30th?",Sun Mar 31 17:17:51 +0000 2019,42.56961206,-97.7200159,resource_coordination
