index,cn_query,lat,lon,created_at,need_type
1,How can I help with the #Harvey recovery effort?,30.259976257768653,-94.20122597,Fri Sep 01 00:36:28 +0000 2017,resource_coordination
2,Where can I find available shelters in the Dallas area?,32.78466113138243,-96.79173058,Fri Sep 01 15:52:33 +0000 2017,shelter
3,"How can I donate to help those affected by the flooding in Houston, Texas?",29.77213228498174,-95.37040701,Sun Aug 27 13:53:29 +0000 2017,resource_coordination
4,"Where can I find damage assessment maps for Corpus Christi, Texas, after Hurricane Harvey?",27.802403472438808,-97.39059783,Wed Aug 30 11:09:09 +0000 2017,logistics
5,Where can I find alternative shelter options for the overflow of evacuees at the George R Brown Convention Center?,29.762941776232303,-95.35003179,Tue Aug 29 21:33:52 +0000 2017,shelter
6,"How can I get food assistance from the CTXFoodBank in Austin, TX?",30.27953437950798,-97.74462523,Thu Aug 31 00:03:17 +0000 2017,logistics
7,How can I get involved in the relief mission from Houston tonight?,29.772051934567468,-95.36852715,Fri Sep 01 23:46:39 +0000 2017,resource_coordination
8,Where can I donate water at the Gulf Healthcare Center this weekend?,29.72973309,-95.45104827,Fri Sep 01 02:32:17 +0000 2017,logistics
9,"How can I volunteer at a church rescue in Houston, Texas?",29.76701624218113,-95.36775595,Tue Aug 29 21:09:09 +0000 2017,resource_coordination
10,"Where is the volunteer sign-up location in Austin, Texas, for tomorrow at 7 p.m.?",30.27880944848141,-97.74694287,Wed Aug 30 11:16:17 +0000 2017,resource_coordination
11,How can I donate to disaster relief in Houston after Hurricane Harvey?,29.75314176462968,-95.36301945,Tue Aug 29 22:01:03 +0000 2017,resource_coordination
12,"Where can I find cots and shelter in College Station, Texas?",30.63130296986786,-96.33486219,Wed Aug 30 11:22:06 +0000 2017,shelter
13,How can I donate $10 to help pets and shelters in Texas affected by Hurricane Harvey?,30.031709052298737,-94.88617144,Tue Aug 29 19:01:29 +0000 2017,resource_coordination
14,Is there a safe evacuation route from the area around the Arkema chemical plant in Aransas?,28.098750719900384,-97.00570412,Fri Sep 01 23:12:04 +0000 2017,transportation
15,"What is the current damage situation in Port Aransas, Texas, after Hurricane Harvey?",27.823361717581985,-97.05578653,Sat Aug 26 19:55:45 +0000 2017,logistics
16,Where can I find water rescue services in Houston?,29.758427895386266,-95.37530232,Tue Aug 29 18:15:04 +0000 2017,resource_coordination
17,"How can I help people trapped in homes in Beaumont, Texas, as the water rises?",30.085432250840363,-94.11329609,Wed Aug 30 13:48:19 +0000 2017,resource_coordination
18,"How can I donate to the North Texas Food Bank in Dallas, Texas, to support Hurricane Harvey relief?",32.79205282298623,-96.80573382,Wed Aug 30 14:05:22 +0000 2017,resource_coordination
19,Is there a hotel offering shelter to evacuees and their pets in Houston?,29.74741191406144,-95.37943147,Tue Aug 29 20:44:49 +0000 2017,shelter
20,How can I donate $10 to the Red Cross for Hurricane Harvey relief?,29.75921772116929,-95.37365413,Tue Aug 29 22:00:56 +0000 2017,resource_coordination
21,How can I volunteer or get involved in the relief efforts at the concert?,29.75889467236537,-95.38970216,Tue Aug 29 21:50:05 +0000 2017,resource_coordination
22,Where can I find information about the arrival of evacuees in Dallas and the shelter at the Kay Bailey Hutchison Convention Center?,32.784338018562536,-96.78342742,Fri Sep 01 03:24:01 +0000 2017,shelter
23,"What evacuation routes and shelters are available in Houston, Texas?",29.76736106179739,-95.38808771,Sun Aug 27 14:28:57 +0000 2017,transportation
24,Where can I submit a request for assistance through the Texas REALTORS Relief Fund?,29.742038590085567,-95.34646009,Tue Aug 29 21:41:23 +0000 2017,resource_coordination
25,How can I volunteer at the Greater Houston Relief Base tonight?,29.76790935471068,-95.37317691,Fri Sep 01 08:11:05 +0000 2017,resource_coordination
26,Where can I get rescued in Houston today?,29.75689921352511,-95.38351261,Tue Aug 29 21:51:58 +0000 2017,resource_coordination
27,"Where can I get bottled water in Victoria, Texas?",28.801930706927628,-97.00000605,Tue Aug 29 21:29:11 +0000 2017,logistics
28,What areas in Texas and Louisiana are still experiencing flooding from Harvey?,29.62705658585428,-95.64607407,Wed Aug 30 12:56:41 +0000 2017,logistics
29,Are there evacuation centers available in west Houston neighborhoods?,29.746306448133016,-95.37256831,Tue Aug 29 21:11:49 +0000 2017,shelter
30,"What's the current status of parking and road infrastructure in Channelview, TX, after the flooding?",29.772868370271205,-95.10412964,Fri Sep 01 20:06:39 +0000 2017,transportation
31,Is the Gulf Healthcare Center still operational and providing medical services after the flooding?,29.74462635801245,-95.4447387,Thu Aug 31 01:03:14 +0000 2017,logistics
32,Where can I find available shelters in Dallas that can accommodate evacuees?,32.78092205,-96.80272153,Tue Aug 29 19:37:26 +0000 2017,shelter
33,"Where can I find information on search and rescue efforts on Business 35 south of Rockport, TX?",28.034307654778747,-97.05984164,Sun Aug 27 06:10:01 +0000 2017,resource_coordination
34,Where can I find help for removing debris from my home after the hurricane?,29.759715306340347,-95.36489083,Fri Sep 01 23:40:34 +0000 2017,logistics
35,How can I donate to help those affected by the disaster in Houston?,29.76105684,-95.35135003,Tue Aug 29 20:50:35 +0000 2017,resource_coordination
36,Where can I find free accommodations for hurricane evacuees in Houston?,29.74800395,-95.35546605,Sun Aug 27 08:37:37 +0000 2017,shelter
37,What evacuation routes and shelters are available in Harris County for Hurricane Harvey?,29.764211718359256,-95.32278313,Fri Aug 25 01:15:00 +0000 2017,transportation
38,"How can I donate to the relief efforts in Houston, Texas?",29.75383549129506,-95.37021967,Fri Sep 01 01:00:46 +0000 2017,resource_coordination
39,Where can I find available shelters in Houston?,29.754893642041534,-95.38664797,Tue Aug 29 12:45:00 +0000 2017,shelter
40,"What are the available shelters in Houston, Texas for displaced people?",29.763351719449453,-95.3740128,Wed Aug 30 15:16:46 +0000 2017,shelter
41,What alternative organizations can I donate to for Hurricane Harvey relief in Houston?,29.767988479621145,-95.38215304,Tue Aug 29 21:45:24 +0000 2017,resource_coordination
42,Where can I donate to Harvey victims in Sugar Land?,29.62222314148767,-95.63952294,Wed Aug 30 11:10:23 +0000 2017,resource_coordination
43,"What items are needed for evacuees in Austin, Texas?",30.263240334154226,-97.73687968,Tue Aug 29 20:52:49 +0000 2017,food_water
44,Are there evacuation centers in Louisiana for those affected by Hurricane Harvey's aftermath?,29.75952228801914,-95.35153979,Fri Sep 01 19:15:47 +0000 2017,shelter
